1 1 1 1 1 1
100000 -280957.80 419904 380683 0.66203704 0.66898148
90000 -281210.04 419904 376617 0.66203704 0.66898148
81000 -281084.58 419904 372755 0.61574074 0.69212963
72900 -281399.69 419904 368153 0.68518519 0.65740741
65610 -281398.88 419904 363460 0.6712963 0.66435185
59049 -280697.43 419904 358938 0.65740741 0.671296
53144 -280929.31 419904 353255 0.63425926 0.68287037
47829 -281392.45 419904 347873 0.63425926 0.68287037
43046 -282012.57 419904 341331 0.71759259 0.6412037
38741 -281597.29 419904 334484 0.68518519 0.65740741
34866 -281169.55 419904 327521 0.65740741 0.6712963
31379 -281780.83 419904 320019 0.7037037 0.64814815
28241 -281888.10 419904 311254 0.73611111 0.63194444
25416 -281912.94 419904 303122 0.71759259 0.6412037
22874 -281979.07 419904 294008 0.69907407 0.65046296
20586 -282041.32 419904 283740 0.74537037 0.62731481
18527 -282101.06 419904 273997 0.71759259 0.6412037
16674 -282015.28 419904 262647 0.73611111 0.63194444
15006 -282186.98 419904 250528 0.69444444 0.65277778
13505 -282454.92 419904 238397 0.76851852 0.61574074
12154 -282295.3 419904 225270 0.77777778 0.61111111
10938 -282348.83 419904 211884 0.77777778 0.61111111
9844 -282547.04 419904 198800 0.8287037 0.58564815
8859 -282454.14 419904 184057 0.77777778 0.61111111
7973 -282650.77 419904 169538 0.79166667 0.60416667
7175 -282736.67 419904 154882 0.85185185 0.57407407
6457 -282685.24 419904 139180 0.78240741 0.6087963
5811 -282904.19 419904 124650 0.85648148 0.57175926
5229 -283044.42 419904 109748 0.85648148 0.57175926
4706 -283164.6 419904 95666 0.92592593 0.53703704
4235 -283307.7 419904 82645 0.90277778 0.54861111
3811 -283273.03 419904 69464 0.88425926 0.55787037
3429 -283533.04 419904 57855 0.94907407 0.52546296
3086 -283414.18 419904 48140 0.91203704 0.54398148
2777 -283601.64 419904 39248 0.97685185 0.51157407
2499 -283655.44 419904 30488 0.96759259 0.5162037
2249 -283741.13 419904 23698 0.97685185 0.51157407
2024 -283696.82 419904 17560 0.98611111 0.50694444
1821 -283752.32 419904 13346 0.99074074 0.50462963
1638 -283875.87 419904 8902 0.99537037 0.50231481
1474 -283841.61 419904 6697 0.99074074 0.50462963
1326 -283963.98 419904 4655 1 0.5
1193 -283968.6 419904 2608 1 0.5
1073 -284015.19 419904 1862 1 0.5
965 -284032.74 419904 1087 1 0.5
868 -284070.71 419904 362 1 0.5
781 -284072.71 419904 162 1 0.5
702 -284074.41 419904 186 1 0.5
631 -284084.29 419904 161 1 0.5
567 -284107.23 419904 34 1 0.5
510 -284118.07 419904 18 1 0.5
459 -284118.07 419904 0 1 0.5
