1 1 1 1 1 1
100000   -665968.67      2359296      2104508   0.66601562   0.66699219 
90000   -667109.74      2359296      2083782   0.67382812   0.66308594 
81000   -666683.51      2359296      2058266   0.68164062   0.65917969 
72900   -667612.88      2359296      2032961   0.66796875   0.66601562 
65610   -666802.63      2359296      2003514   0.67578125   0.66210938 
59049   -667538.17      2359296      1974835   0.69335938   0.65332031 
53144   -667357.26      2359296      1942234     0.703125    0.6484375 
47829   -667355.08      2359296      1908084   0.69140625   0.65429688 
43046   -667156.97      2359296      1870856   0.69726562   0.65136719 
38741   -667262.82      2359296      1832786   0.68359375   0.65820312 
34866    -667767.3      2359296      1790554   0.70507812   0.64746094 
31379   -667865.66      2359296      1746175   0.68945312   0.65527344 
28241   -667835.98      2359296      1697622   0.70898438   0.64550781 
25416   -667875.95      2359296      1647613   0.69335938   0.65332031 
22874    -667852.2      2359296      1594592   0.69726562   0.65136719 
20586   -668688.32      2359296      1538038   0.76171875   0.61914062 
18527    -668268.6      2359296      1477846      0.71875     0.640625 
16674   -668970.51      2359296      1414423    0.7578125   0.62109375 
15006   -668663.27      2359296      1349136   0.71679688   0.64160156 
13505   -668790.99      2359296      1278261   0.74414062   0.62792969 
12154   -669491.93      2359296      1206960    0.7890625   0.60546875 
10938   -669374.19      2359296      1133753    0.7421875   0.62890625 
9844   -669815.78      2359296      1054329   0.79492188   0.60253906 
8859   -669825.01      2359296       974208   0.76953125   0.61523438 
7973   -670218.21      2359296       893580   0.81835938   0.59082031 
7175   -670350.14      2359296       809868     0.828125    0.5859375 
6457   -670534.99      2359296       727643   0.86328125   0.56835938 
5811   -670766.65      2359296       647653   0.86132812   0.56933594 
5229   -671013.87      2359296       567358        0.875       0.5625 
4706   -671228.02      2359296       490892   0.88867188   0.55566406 
4235   -671346.34      2359296       419030   0.88085938   0.55957031 
3811   -671581.66      2359296       351226      0.90625     0.546875 
3429   -671889.94      2359296       289668    0.9453125   0.52734375 
3086    -672163.1      2359296       235577   0.95507812   0.52246094 
2777   -672274.42      2359296       187360   0.95507812   0.52246094 
2499   -672487.93      2359296       146703   0.98046875   0.50976562 
2249   -672566.37      2359296       110887   0.99023438   0.50488281 
2024   -672657.47      2359296        82187   0.98632812   0.50683594 
1821   -672883.01      2359296        60449    0.9921875   0.50390625 
1638   -672850.61      2359296        40631   0.99609375   0.50195312 
1474   -672964.47      2359296        28053   0.99414062   0.50292969 
1326   -672964.34      2359296        18034   0.99609375   0.50195312 
1193    -673068.7      2359296        11507   0.99804688   0.50097656 
1073    -673124.5      2359296         6532            1          0.5 
965   -673215.23      2359296         4153            1          0.5 
868   -673261.33      2359296         2221            1          0.5 
781    -673340.6      2359296         1081            1          0.5 
702   -673398.68      2359296          480            1          0.5 
631   -673434.71      2359296          334            1          0.5 
567   -673428.51      2359296          128            1          0.5 
510   -673450.43      2359296          136            1          0.5 
459   -673452.69      2359296           26            1          0.5 
413   -673457.69      2359296           65            1          0.5 
371    -673474.6      2359296           30            1          0.5 
333    -673474.6      2359296            0            1          0.5 
